Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.70410990,1.55905500,-0.78740150,-1.18110200
-10.90410989,1.57480300,0.00000000,-1.18110200
-10.10410988,1.57480300,0.00000000,-1.18110200
-9.30410987,1.55905500,-0.39370070,-0.78740150
-8.50410986,1.55905500,-0.39370070,-1.18110200
-7.70410985,1.55905500,0.00000000,-0.78740150
-6.90410984,1.57480300,0.00000000,-0.78740150
-6.10410983,1.57480300,-0.39370070,-1.18110200
-5.30410982,1.57480300,0.00000000,-1.18110200
-4.50410981,1.57480300,0.00000000,-0.78740150
-3.70410980,1.55905500,0.00000000,-1.18110200
-2.90410979,1.57480300,0.00000000,-0.78740150
-2.10410978,1.55905500,0.39370070,-1.18110200
-1.30410976,1.55905500,0.00000000,-1.18110200
-0.50410975,1.22834600,-0.39370070,-1.18110200
0.29589026,0.07874016,0.00000000,-0.78740150
1.09589027,-0.07874016,0.00000000,-1.18110200
1.89589028,0.06299213,-0.39370070,-1.18110200
2.69589029,0.07874016,-0.39370070,-0.78740150
3.49589030,0.11023620,-0.39370070,-1.18110200
4.29589031,0.07874016,-0.39370070,-1.18110200
5.09589032,0.04724409,-0.39370070,-0.78740150
5.89589033,0.06299213,0.00000000,-1.18110200
6.69589034,0.06299213,-0.39370070,-0.78740150
7.49589035,0.04724409,0.00000000,-1.18110200
8.29589036,0.06299213,0.00000000,-0.78740150
9.09589037,0.06299213,-0.39370070,-0.78740150
9.89589038,0.04724409,0.00000000,-0.78740150
10.69589040,0.04724409,-1.18110200,-1.18110200
11.49589041,0.03149606,0.00000000,3.54330700
12.29589042,0.04724409,0.78740150,8.26771600
13.09589043,0.04724409,4.72440900,9.84251900
13.89589044,0.04724409,7.08661400,10.23622000
14.69589045,0.04724409,8.26771600,10.23622000
15.49589046,0.03149606,7.87401500,9.05511800
16.29589047,0.03149606,7.48031400,9.84251900
17.09589048,0.03149606,7.48031400,10.23622000
17.89589049,0.03149606,7.08661400,9.84251900
18.69589050,0.03149606,7.48031400,10.23622000
19.49589051,0.03149606,7.08661400,10.23622000
20.29589052,0.03149606,7.48031400,10.23622000
21.09589053,0.01574803,7.48031400,10.23622000
21.89589055,0.03149606,7.87401500,10.23622000
22.69589056,0.03149606,7.48031400,10.62992000
23.49589057,0.03149606,7.48031400,10.23622000
24.29589058,0.03149606,7.87401500,10.23622000
25.09589059,0.01574803,7.48031400,9.84251900
25.89589060,0.03149606,7.48031400,9.84251900
26.69589061,0.03149606,7.87401500,10.62992000
27.49589062,0.03149606,7.08661400,9.84251900
28.29589063,0.03149606,7.08661400,9.84251900
29.09589064,0.01574803,7.08661400,9.84251900
29.89589065,0.01574803,6.69291300,9.44881800
30.69589066,0.01574803,7.48031400,9.44881800
31.49589067,0.01574803,7.08661400,9.05511800
32.29589068,0.01574803,7.08661400,8.26771600
33.09589069,0.01574803,7.08661400,7.87401500
33.89589071,0.03149606,7.08661400,7.48031400
34.69589072,0.03149606,7.08661400,7.87401500
35.49589073,0.01574803,6.69291300,7.48031400
36.29589074,0.01574803,6.69291300,7.48031400
37.09589075,0.01574803,6.69291300,7.48031400
37.89589076,0.03149606,6.69291300,7.48031400
38.69589077,0.01574803,6.29921200,6.69291300
39.49589078,0.01574803,5.90551100,7.87401500
40.29589079,0.01574803,6.69291300,7.87401500
41.09589080,0.03149606,6.69291300,7.48031400
41.89589081,0.01574803,6.69291300,8.26771600
42.69589082,0.01574803,5.90551100,7.48031400
43.49589083,0.01574803,5.90551100,7.87401500
44.29589084,0.01574803,5.51181100,7.48031400
45.09589085,0.01574803,5.51181100,7.48031400
45.89589087,0.01574803,5.90551100,7.87401500
46.69589088,0.01574803,5.11811000,7.87401500
47.49589089,0.01574803,5.90551100,7.87401500
48.29589090,0.01574803,5.90551100,7.08661400
49.09589091,0.01574803,5.51181100,7.48031400
49.89589092,0.01574803,5.11811000,8.26771600
50.69589093,0.01574803,5.51181100,6.69291300
51.49589094,0.01574803,5.51181100,7.48031400
52.29589095,0.01574803,5.51181100,7.08661400
53.09589096,0.01574803,5.51181100,7.08661400
53.89589097,0.01574803,5.51181100,6.69291300
54.69589098,0.01574803,5.11811000,6.69291300
55.49589099,0.01574803,5.11811000,7.48031400
56.29589100,0.01574803,5.11811000,7.08661400
57.09589102,0.01574803,5.51181100,7.08661400
57.89589103,0.00000000,4.33070900,6.29921200
58.69589104,0.01574803,4.72440900,6.29921200
59.49589105,0.01574803,4.72440900,6.69291300
60.29589106,0.01574803,4.33070900,6.29921200
61.09589107,0.01574803,4.72440900,6.29921200
61.89589108,0.03149606,4.33070900,5.90551100
62.69589109,0.01574803,4.72440900,5.90551100
63.49589110,0.01574803,4.33070900,6.29921200
64.29589111,0.01574803,4.33070900,6.29921200
65.09589112,0.01574803,4.33070900,5.51181100
65.89589113,0.01574803,4.72440900,5.51181100
66.69589114,0.01574803,3.54330700,5.51181100
67.49589115,0.01574803,4.33070900,5.11811000
68.29589116,0.01574803,3.93700800,5.90551100
69.09589118,0.01574803,3.54330700,5.90551100
69.89589119,0.01574803,3.93700800,4.72440900
70.69589120,0.01574803,3.93700800,5.11811000
71.49589121,0.01574803,3.93700800,5.11811000
72.29589122,0.01574803,3.54330700,5.11811000
73.09589123,0.01574803,3.54330700,5.11811000
73.89589124,0.01574803,3.93700800,4.72440900
74.69589125,0.00000000,3.93700800,4.72440900
75.49589126,0.00000000,3.93700800,4.33070900
76.29589127,0.00000000,3.14960600,4.72440900
77.09589128,0.01574803,3.14960600,4.33070900
77.89589129,0.01574803,3.54330700,4.72440900
78.69589130,0.01574803,3.93700800,4.33070900
79.49589131,0.01574803,3.54330700,4.72440900
80.29589132,0.00000000,3.54330700,4.33070900
81.09589134,0.01574803,3.54330700,4.72440900
81.89589135,0.00000000,3.14960600,4.72440900
82.69589136,0.00000000,3.54330700,4.72440900
83.49589137,0.01574803,3.14960600,4.72440900
84.29589138,0.01574803,3.54330700,3.93700800
85.09589139,0.01574803,3.54330700,4.72440900
85.89589140,0.00000000,3.14960600,3.93700800
86.69589141,0.01574803,3.54330700,3.93700800
87.49589142,0.00000000,2.75590500,3.54330700
88.29589143,0.00000000,3.14960600,3.93700800
89.09589144,0.01574803,2.75590500,4.33070900
89.89589145,0.00000000,2.75590500,3.14960600
90.69589146,0.01574803,2.75590500,3.93700800
91.49589147,0.01574803,2.75590500,3.93700800
92.29589149,0.01574803,2.75590500,3.14960600
93.09589150,0.00000000,2.75590500,3.54330700
