Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.79999942,1.55905500,0.78740150,-0.78740150
-10.99999941,1.57480300,0.39370070,-0.39370070
-10.19999940,1.57480300,0.78740150,-0.39370070
-9.39999939,1.57480300,0.39370070,-1.18110200
-8.59999938,1.59055100,0.78740150,-0.78740150
-7.79999937,1.57480300,1.18110200,-0.39370070
-6.99999936,1.57480300,-0.39370070,-0.39370070
-6.19999935,1.55905500,0.39370070,-0.39370070
-5.39999934,1.54330700,0.78740150,-1.18110200
-4.59999933,1.55905500,0.78740150,-0.78740150
-3.79999932,1.57480300,0.00000000,-1.18110200
-2.99999930,1.55905500,0.39370070,-0.78740150
-2.19999929,1.55905500,0.78740150,-0.39370070
-1.39999928,1.55905500,1.18110200,-1.18110200
-0.59999927,1.40157500,0.78740150,-0.78740150
0.20000074,0.20472440,1.18110200,-0.39370070
1.00000075,-0.09448819,0.78740150,-0.78740150
1.80000076,0.04724409,0.39370070,-0.39370070
2.60000077,0.06299213,0.39370070,-0.78740150
3.40000078,0.11023620,0.78740150,-0.78740150
4.20000079,0.09448819,0.39370070,-0.78740150
5.00000080,0.06299213,0.39370070,-0.39370070
5.80000081,0.06299213,0.39370070,0.00000000
6.60000082,0.06299213,0.39370070,-0.78740150
7.40000083,0.06299213,0.78740150,-0.78740150
8.20000085,0.04724409,1.18110200,-0.78740150
9.00000086,0.04724409,0.78740150,-0.78740150
9.80000087,0.04724409,0.39370070,-1.18110200
10.60000088,0.04724409,0.78740150,-1.57480300
11.40000089,0.03149606,0.39370070,-0.39370070
12.20000090,0.04724409,0.78740150,1.18110200
13.00000091,0.04724409,1.96850400,1.18110200
13.80000092,0.03149606,2.36220500,2.36220500
14.60000093,0.04724409,2.36220500,1.57480300
15.40000094,0.01574803,3.14960600,1.96850400
16.20000095,0.03149606,3.54330700,2.36220500
17.00000096,0.03149606,3.93700800,2.36220500
17.80000097,0.03149606,3.14960600,2.75590500
18.60000098,0.03149606,3.54330700,1.96850400
19.40000099,0.03149606,3.93700800,2.75590500
20.20000101,0.03149606,3.54330700,2.36220500
21.00000102,0.03149606,3.54330700,2.36220500
21.80000103,0.03149606,3.54330700,1.96850400
22.60000104,0.03149606,3.93700800,1.96850400
23.40000105,0.03149606,3.93700800,2.75590500
24.20000106,0.03149606,3.54330700,2.36220500
25.00000107,0.03149606,3.93700800,2.36220500
25.80000108,0.03149606,3.93700800,2.36220500
26.60000109,0.03149606,4.33070900,2.75590500
27.40000110,0.03149606,4.33070900,2.75590500
28.20000111,0.03149606,3.93700800,2.75590500
29.00000112,0.01574803,3.93700800,2.36220500
29.80000113,0.01574803,3.93700800,2.36220500
30.60000114,0.01574803,3.93700800,2.36220500
31.40000115,0.03149606,3.93700800,2.36220500
32.20000117,0.01574803,3.14960600,2.36220500
33.00000118,0.00000000,4.33070900,1.57480300
33.80000119,0.03149606,3.93700800,1.57480300
34.60000120,0.04724409,3.93700800,1.96850400
35.40000121,0.03149606,3.54330700,1.57480300
36.20000122,0.01574803,4.33070900,1.57480300
37.00000123,0.01574803,4.33070900,1.57480300
37.80000124,0.03149606,3.54330700,1.57480300
38.60000125,0.03149606,3.93700800,1.96850400
39.40000126,0.01574803,3.93700800,1.57480300
40.20000127,0.03149606,3.93700800,1.96850400
41.00000128,0.01574803,3.54330700,1.57480300
41.80000129,0.01574803,3.54330700,1.57480300
42.60000130,0.01574803,3.93700800,1.57480300
43.40000131,0.01574803,3.54330700,1.96850400
44.20000133,0.01574803,3.54330700,2.36220500
45.00000134,0.03149606,3.14960600,1.57480300
45.80000135,0.01574803,3.14960600,1.18110200
46.60000136,0.01574803,3.54330700,1.57480300
47.40000137,0.01574803,3.54330700,1.96850400
48.20000138,0.01574803,3.93700800,1.18110200
49.00000139,0.00000000,3.14960600,1.57480300
49.80000140,0.01574803,3.54330700,1.57480300
50.60000141,0.01574803,3.14960600,1.57480300
51.40000142,0.01574803,3.14960600,1.96850400
52.20000143,0.01574803,3.14960600,2.36220500
53.00000144,0.01574803,3.54330700,2.36220500
53.80000145,0.01574803,2.75590500,1.57480300
54.60000146,0.00000000,3.54330700,1.57480300
55.40000148,0.01574803,3.14960600,1.57480300
56.20000149,0.01574803,3.14960600,1.57480300
57.00000150,0.01574803,2.75590500,1.57480300
57.80000151,0.01574803,2.75590500,1.57480300
58.60000152,0.01574803,3.14960600,1.18110200
59.40000153,0.01574803,2.36220500,1.96850400
60.20000154,0.00000000,2.36220500,1.57480300
61.00000155,0.01574803,2.36220500,1.57480300
61.80000156,0.00000000,2.75590500,0.78740150
62.60000157,0.01574803,2.36220500,1.57480300
63.40000158,0.00000000,3.14960600,0.78740150
64.20000159,0.01574803,2.36220500,1.18110200
65.00000160,0.01574803,2.75590500,1.18110200
65.80000161,0.01574803,2.75590500,1.18110200
66.60000162,0.01574803,3.14960600,1.18110200
67.40000164,0.01574803,2.75590500,1.18110200
68.20000165,0.00000000,2.36220500,1.18110200
69.00000166,0.01574803,2.75590500,0.78740150
69.80000167,0.01574803,2.36220500,1.18110200
70.60000168,0.01574803,2.75590500,1.18110200
71.40000169,0.01574803,3.14960600,0.78740150
72.20000170,0.00000000,1.57480300,1.57480300
73.00000171,0.00000000,2.36220500,1.18110200
73.80000172,0.01574803,2.36220500,1.18110200
74.60000173,0.01574803,2.75590500,1.18110200
75.40000174,0.01574803,1.96850400,1.18110200
76.20000175,0.01574803,2.36220500,0.39370070
77.00000176,0.01574803,2.36220500,0.78740150
77.80000177,0.01574803,1.96850400,1.18110200
78.60000178,0.01574803,2.36220500,0.78740150
79.40000180,0.01574803,2.36220500,0.78740150
80.20000181,0.00000000,2.75590500,1.18110200
81.00000182,0.01574803,1.96850400,1.57480300
81.80000183,0.01574803,1.96850400,0.78740150
82.60000184,0.01574803,2.36220500,1.57480300
83.40000185,0.01574803,1.96850400,0.78740150
84.20000186,0.01574803,2.36220500,0.78740150
85.00000187,0.00000000,2.75590500,0.78740150
85.80000188,0.01574803,2.36220500,0.78740150
86.60000189,0.00000000,1.96850400,0.78740150
87.40000190,0.01574803,2.36220500,1.18110200
88.20000191,0.00000000,2.36220500,0.78740150
89.00000192,0.01574803,1.57480300,0.78740150
89.80000193,0.01574803,1.96850400,0.78740150
90.60000195,0.01574803,1.96850400,0.39370070
91.40000196,0.00000000,1.96850400,0.39370070
92.20000197,0.00000000,1.96850400,0.78740150
93.00000198,0.00000000,1.96850400,1.18110200
