"Source:","/mnt/Work/Work/Non-Confidential/Custom_General_Purpose_Tools/camera_module/camera_hookup/camera_hookup.sch"
"Date:","Tue 26 Sep 2023 10:16:42 AM EDT"
"Tool:","Eeschema 5.1.8-5.1.8"
"Generator:","/mnt/Work/Work/Non-Confidential/Custom_General_Purpose_Tools/ghepplib/tools/bom_csv_custom.py"
"Component Count:","34"
"Simplified BOM (merged components):"
"Capacitance","Coupling","Dielectric","ESL","ESR","Footprint","Inductance","Impedance","Impedance Frequency","Manufacturer","Manufacturer Part Number","Max Current","Multiplier","Note","Power","Design Quantity","Usage Quantity","Reference Designator","Resistance","Saturation Current","SRF","Symbol Description","Symbol Library Name","Temperature Coefficient","Tolerance","Value","Voltage"
"","","","","","","","","","","","","1","","","12","12","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","","","","Light emitting diode","Device:LED","","","LED",""
"","","","","","","","","","TE Connectivity AMP Connectors","66504-4","","4","","","17","17","H1, H3","","","","Miscellaneous BOM item. Use specific symbols for specific items where possible.","ghepplib:BOM_item","","","Fiducial",""
"","","","","","","","","","TE Connectivity AMP Connectors","5745172-2","","1","","","1","1","H2","","","","Miscellaneous BOM item. Use specific symbols for specific items where possible.","ghepplib:BOM_item","","","Fiducial",""
"","","","","","","","","","Ansice","H8M415","","1","","","1","1","H4","","","","Miscellaneous BOM item. Use specific symbols for specific items where possible.","ghepplib:BOM_item","","","Fiducial",""
"","","","","","","","","","Ansice","2.8mm lens","","1","","","1","1","H5","","","","Miscellaneous BOM item. Use specific symbols for specific items where possible.","ghepplib:BOM_item","","","Fiducial",""
"","","","","","","","","","TE Connectivity AMP Connectors","5745171-2","","1","","","1","1","H6","","","","Miscellaneous BOM item. Use specific symbols for specific items where possible.","ghepplib:BOM_item","","","Fiducial",""
"","","","","","","","","","Stewart Connector","SS-37000-002","","1","","","1","1","J1","","","","RJ connector, 8P8C (8 positions 8 connected), RJ31/RJ32/RJ33/RJ34/RJ35/RJ41/RJ45/RJ49/RJ61","Connector:8P8C","","","8P8C",""
"","","","","","","","","","TE Connectivity AMP Connectors","205205-2","","1","","","1","1","J2","","","","15-pin female D-SUB connector (low-density/2 columns)","Connector:DB15_Female","","","DB15_Female",""
"","","","","","","","","","TE Connectivity AMP Connectors","5-747909-2","","1","","","1","1","J3","","","","15-pin female D-SUB connector (low-density/2 columns)","Connector:DB15_Female","","","DB15_Female",""
