Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.99999944,1.57480300,0.78740150,-1.18110200
-11.19999943,1.57480300,0.39370070,-1.18110200
-10.39999942,1.57480300,0.00000000,-1.18110200
-9.59999941,1.55905500,0.78740150,-1.18110200
-8.79999940,1.55905500,0.00000000,-1.57480300
-7.99999939,1.57480300,0.00000000,-1.57480300
-7.19999937,1.55905500,0.00000000,-1.18110200
-6.39999936,1.55905500,0.39370070,-1.18110200
-5.59999935,1.57480300,0.39370070,-1.96850400
-4.79999934,1.57480300,0.39370070,-1.57480300
-3.99999933,1.55905500,0.39370070,-0.78740150
-3.19999932,1.55905500,0.00000000,-1.57480300
-2.39999931,1.55905500,0.78740150,-1.18110200
-1.59999930,1.57480300,0.39370070,-1.18110200
-0.79999929,1.52755900,0.78740150,-1.57480300
0.00000072,0.50393700,0.78740150,-1.18110200
0.80000073,-0.11023620,0.00000000,-1.18110200
1.60000074,0.01574803,0.39370070,-1.57480300
2.40000075,0.04724409,0.00000000,-1.18110200
3.20000076,0.09448819,0.00000000,-1.57480300
4.00000078,0.11023620,0.39370070,-1.18110200
4.80000079,0.06299213,0.39370070,-1.57480300
5.60000080,0.04724409,0.39370070,-1.18110200
6.40000081,0.06299213,0.78740150,-1.18110200
7.20000082,0.04724409,0.39370070,-1.18110200
8.00000083,0.06299213,0.00000000,-1.57480300
8.80000084,0.04724409,0.39370070,-1.57480300
9.60000085,0.04724409,0.00000000,-1.18110200
10.40000086,0.04724409,0.78740150,-1.57480300
11.20000087,0.03149606,0.39370070,-0.78740150
12.00000088,0.04724409,-0.39370070,-0.78740150
12.80000089,0.04724409,0.39370070,-1.18110200
13.60000090,0.03149606,0.39370070,-0.78740150
14.40000091,0.03149606,0.00000000,-0.39370070
15.20000092,0.03149606,0.39370070,-0.39370070
16.00000094,0.03149606,0.39370070,-0.39370070
16.80000095,0.03149606,0.78740150,-0.78740150
17.60000096,0.01574803,0.39370070,-0.78740150
18.40000097,0.03149606,0.78740150,-0.78740150
19.20000098,0.03149606,0.39370070,-0.78740150
20.00000099,0.03149606,0.78740150,-0.78740150
20.80000100,0.03149606,0.39370070,-0.78740150
21.60000101,0.03149606,0.78740150,-1.18110200
22.40000102,0.03149606,0.00000000,-0.78740150
23.20000103,0.03149606,0.00000000,-1.18110200
24.00000104,0.03149606,0.78740150,-0.78740150
24.80000105,0.01574803,1.18110200,-0.78740150
25.60000106,0.01574803,-0.39370070,-1.18110200
26.40000107,0.03149606,0.00000000,-1.57480300
27.20000108,0.01574803,0.39370070,-0.39370070
28.00000110,0.01574803,0.00000000,-1.18110200
28.80000111,0.03149606,0.39370070,-0.39370070
29.60000112,0.01574803,0.39370070,-0.78740150
30.40000113,0.01574803,0.39370070,-0.78740150
31.20000114,0.01574803,0.39370070,-1.57480300
32.00000115,0.01574803,0.39370070,-0.39370070
32.80000116,0.01574803,0.39370070,-0.78740150
33.60000117,0.01574803,0.78740150,-1.18110200
34.40000118,0.03149606,0.39370070,-0.78740150
35.20000119,0.03149606,0.78740150,-0.78740150
36.00000120,0.01574803,1.18110200,-1.57480300
36.80000121,0.01574803,0.78740150,-0.78740150
37.60000122,0.01574803,0.39370070,-0.39370070
38.40000123,0.01574803,0.39370070,-1.57480300
39.20000125,0.03149606,0.39370070,-1.18110200
40.00000126,0.01574803,0.39370070,-0.78740150
40.80000127,0.01574803,0.39370070,-0.78740150
41.60000128,0.03149606,0.39370070,-0.78740150
42.40000129,0.01574803,0.78740150,-0.78740150
43.20000130,0.01574803,0.78740150,-1.18110200
44.00000131,0.01574803,0.78740150,-0.78740150
44.80000132,0.01574803,0.39370070,-0.78740150
45.60000133,0.01574803,0.78740150,-0.78740150
46.40000134,0.01574803,0.39370070,-0.39370070
47.20000135,0.01574803,0.39370070,-0.78740150
48.00000136,0.01574803,0.78740150,-1.18110200
48.80000137,0.01574803,0.39370070,-0.78740150
49.60000138,0.01574803,0.78740150,-1.18110200
50.40000139,0.01574803,0.78740150,-0.39370070
51.20000141,0.01574803,0.00000000,-0.78740150
52.00000142,0.01574803,0.39370070,-0.78740150
52.80000143,0.01574803,0.00000000,-1.18110200
53.60000144,0.01574803,0.00000000,-0.78740150
54.40000145,0.01574803,0.00000000,-1.18110200
55.20000146,0.01574803,0.39370070,-0.78740150
56.00000147,0.01574803,0.39370070,-0.78740150
56.80000148,0.01574803,0.39370070,-1.18110200
57.60000149,0.01574803,0.39370070,-1.18110200
58.40000150,0.03149606,0.39370070,-1.18110200
59.20000151,0.01574803,0.78740150,-1.18110200
60.00000152,0.01574803,1.18110200,-0.78740150
60.80000153,0.01574803,0.39370070,-1.18110200
61.60000154,0.01574803,0.39370070,-0.78740150
62.40000155,0.01574803,0.39370070,-0.78740150
63.20000157,0.03149606,0.78740150,-1.18110200
64.00000158,0.01574803,0.78740150,-1.18110200
64.80000159,0.01574803,0.78740150,-1.18110200
65.60000160,0.01574803,0.39370070,-0.78740150
66.40000161,0.01574803,0.39370070,-0.78740150
67.20000162,0.01574803,0.00000000,-1.18110200
68.00000163,0.01574803,0.78740150,-1.18110200
68.80000164,0.01574803,-0.39370070,-0.78740150
69.60000165,0.00000000,0.39370070,-1.18110200
70.40000166,0.01574803,0.00000000,-1.57480300
71.20000167,0.01574803,0.78740150,-0.78740150
72.00000168,0.01574803,0.78740150,-0.39370070
72.80000169,0.01574803,0.39370070,-0.78740150
73.60000170,0.01574803,0.39370070,-1.18110200
74.40000171,0.01574803,0.78740150,-0.78740150
75.20000173,0.01574803,0.00000000,-1.18110200
76.00000174,0.01574803,0.39370070,-1.18110200
76.80000175,0.01574803,0.00000000,-1.18110200
77.60000176,0.01574803,0.00000000,-1.18110200
78.40000177,0.01574803,0.00000000,-0.78740150
79.20000178,0.01574803,0.78740150,-1.18110200
80.00000179,0.00000000,0.39370070,-0.78740150
80.80000180,0.00000000,0.00000000,-1.18110200
81.60000181,0.01574803,0.39370070,-1.18110200
82.40000182,0.01574803,0.00000000,-1.18110200
83.20000183,0.00000000,0.39370070,-1.18110200
84.00000184,0.01574803,0.39370070,-0.78740150
84.80000185,0.01574803,0.00000000,-0.78740150
85.60000186,0.00000000,0.78740150,-1.18110200
86.40000188,0.00000000,0.78740150,-1.18110200
87.20000189,0.01574803,0.39370070,-0.78740150
88.00000190,0.00000000,0.78740150,-0.78740150
88.80000191,0.00000000,0.78740150,-0.78740150
89.60000192,0.01574803,0.39370070,-1.18110200
90.40000193,0.01574803,0.78740150,-0.78740150
91.20000194,0.01574803,0.39370070,-0.78740150
92.00000195,0.01574803,0.00000000,-0.78740150
92.80000196,0.01574803,0.00000000,-1.18110200
