Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.25853655,1.55905500,0.39370070,-1.18110200
-10.45853654,1.57480300,0.00000000,-1.18110200
-9.65853653,1.55905500,0.78740150,-1.18110200
-8.85853652,1.55905500,0.39370070,-1.18110200
-8.05853650,1.57480300,0.39370070,-0.78740150
-7.25853649,1.55905500,0.78740150,-1.18110200
-6.45853648,1.55905500,0.78740150,-1.18110200
-5.65853647,1.55905500,0.00000000,-1.18110200
-4.85853646,1.55905500,0.00000000,-0.78740150
-4.05853645,1.55905500,0.39370070,-1.18110200
-3.25853644,1.55905500,0.39370070,-1.18110200
-2.45853643,1.57480300,0.39370070,-1.18110200
-1.65853642,1.55905500,0.78740150,-1.18110200
-0.85853641,1.54330700,0.39370070,-1.18110200
-0.05853640,0.55118110,0.39370070,-1.18110200
0.74146361,-0.09448819,0.39370070,-1.57480300
1.54146362,0.03149606,0.39370070,-1.57480300
2.34146363,0.04724409,0.39370070,-1.18110200
3.14146364,0.09448819,0.39370070,-1.18110200
3.94146366,0.11023620,0.39370070,-1.18110200
4.74146367,0.06299213,0.78740150,-1.57480300
5.54146368,0.06299213,0.78740150,-0.78740150
6.34146369,0.06299213,0.39370070,-1.18110200
7.14146370,0.06299213,0.39370070,-1.18110200
7.94146371,0.04724409,0.39370070,-1.18110200
8.74146372,0.04724409,0.00000000,-1.18110200
9.54146373,0.04724409,0.78740150,-1.18110200
10.34146374,0.03149606,0.78740150,-1.18110200
11.14146375,0.03149606,0.39370070,-1.18110200
11.94146376,0.04724409,0.39370070,-0.78740150
12.74146377,0.04724409,1.18110200,-0.39370070
13.54146378,0.04724409,1.96850400,0.00000000
14.34146379,0.04724409,2.75590500,-1.18110200
15.14146380,0.03149606,2.75590500,-0.39370070
15.94146382,0.03149606,2.75590500,-0.39370070
16.74146383,0.03149606,3.14960600,-1.18110200
17.54146384,0.03149606,2.75590500,0.00000000
18.34146385,0.04724409,2.75590500,-0.39370070
19.14146386,0.03149606,2.36220500,0.00000000
19.94146387,0.03149606,3.14960600,-0.39370070
20.74146388,0.03149606,2.75590500,-0.39370070
21.54146389,0.03149606,2.75590500,-0.39370070
22.34146390,0.03149606,3.14960600,0.00000000
23.14146391,0.03149606,3.14960600,-0.39370070
23.94146392,0.03149606,2.75590500,-0.39370070
24.74146393,0.03149606,2.36220500,-0.39370070
25.54146394,0.01574803,2.36220500,-0.39370070
26.34146395,0.03149606,3.14960600,-0.39370070
27.14146397,0.03149606,2.36220500,0.00000000
27.94146398,0.03149606,2.75590500,0.00000000
28.74146399,0.03149606,2.36220500,-0.78740150
29.54146400,0.01574803,1.96850400,-0.39370070
30.34146401,0.01574803,3.14960600,0.00000000
31.14146402,0.01574803,3.14960600,-0.78740150
31.94146403,0.01574803,2.75590500,-0.39370070
32.74146404,0.00000000,2.75590500,-0.78740150
33.54146405,0.01574803,2.36220500,-0.78740150
34.34146406,0.03149606,2.36220500,-0.39370070
35.14146407,0.03149606,3.14960600,-0.39370070
35.94146408,0.01574803,3.14960600,-1.18110200
36.74146409,0.01574803,2.36220500,-0.39370070
37.54146410,0.03149606,2.75590500,-0.39370070
38.34146411,0.01574803,3.14960600,-0.39370070
39.14146413,0.01574803,2.75590500,-0.78740150
39.94146414,0.01574803,2.36220500,-0.39370070
40.74146415,0.03149606,2.36220500,-0.78740150
41.54146416,0.01574803,2.75590500,-0.78740150
42.34146417,0.01574803,2.75590500,-0.39370070
43.14146418,0.01574803,2.75590500,-0.39370070
43.94146419,0.01574803,2.75590500,-0.78740150
44.74146420,0.01574803,2.36220500,-0.39370070
45.54146421,0.03149606,1.96850400,-0.39370070
46.34146422,0.01574803,1.96850400,-0.39370070
47.14146423,0.01574803,2.36220500,-0.39370070
47.94146424,0.01574803,2.36220500,-0.78740150
48.74146425,0.01574803,2.75590500,-0.78740150
49.54146426,0.01574803,2.36220500,-0.78740150
50.34146427,0.01574803,2.75590500,0.39370070
51.14146429,0.01574803,3.14960600,-0.78740150
51.94146430,0.01574803,2.36220500,-0.78740150
52.74146431,0.01574803,1.96850400,-0.39370070
53.54146432,0.03149606,2.36220500,-0.78740150
54.34146433,0.01574803,2.75590500,-0.78740150
55.14146434,0.01574803,2.36220500,-0.78740150
55.94146435,0.01574803,2.36220500,-0.78740150
56.74146436,0.01574803,1.96850400,-0.78740150
57.54146437,0.01574803,1.96850400,-0.78740150
58.34146438,0.01574803,1.57480300,-0.78740150
59.14146439,0.01574803,2.36220500,-0.39370070
59.94146440,0.00000000,2.75590500,-0.39370070
60.74146441,0.01574803,2.36220500,-1.18110200
61.54146442,0.01574803,2.36220500,-0.39370070
62.34146444,0.00000000,1.96850400,0.00000000
63.14146445,0.01574803,2.36220500,-1.18110200
63.94146446,0.01574803,1.96850400,-0.78740150
64.74146447,0.01574803,1.57480300,-0.78740150
65.54146448,0.01574803,1.96850400,-0.78740150
66.34146449,0.00000000,1.57480300,-0.78740150
67.14146450,0.01574803,2.36220500,-0.78740150
67.94146451,0.01574803,2.36220500,-0.39370070
68.74146452,0.01574803,2.36220500,-0.39370070
69.54146453,0.01574803,1.96850400,-1.18110200
70.34146454,0.01574803,2.36220500,-0.78740150
71.14146455,0.01574803,1.96850400,-0.39370070
71.94146456,0.01574803,1.96850400,-0.39370070
72.74146457,0.01574803,1.96850400,-0.78740150
73.54146458,0.01574803,1.57480300,-0.78740150
74.34146460,0.00000000,1.96850400,-0.78740150
75.14146461,0.01574803,1.57480300,-0.78740150
75.94146462,0.01574803,1.57480300,-0.78740150
76.74146463,0.01574803,1.96850400,-0.39370070
77.54146464,0.01574803,1.96850400,-0.78740150
78.34146465,0.03149606,1.96850400,-0.78740150
79.14146466,0.01574803,1.96850400,-0.39370070
79.94146467,0.01574803,0.78740150,-1.18110200
80.74146468,0.00000000,1.57480300,-1.18110200
81.54146469,0.01574803,1.57480300,-0.39370070
82.34146470,0.01574803,1.57480300,-0.78740150
83.14146471,0.01574803,1.96850400,-0.78740150
83.94146472,0.01574803,1.57480300,-0.39370070
84.74146473,0.00000000,1.57480300,-0.39370070
85.54146474,0.00000000,1.18110200,-1.18110200
86.34146476,0.01574803,1.57480300,-0.39370070
87.14146477,0.00000000,1.57480300,-0.78740150
87.94146478,0.00000000,1.18110200,-0.78740150
88.74146479,0.01574803,1.57480300,-0.39370070
89.54146480,0.01574803,1.18110200,-0.78740150
90.34146481,0.00000000,1.57480300,-0.78740150
91.14146482,0.01574803,1.18110200,-0.78740150
91.94146483,0.00000000,1.18110200,-0.39370070
92.74146484,0.01574803,1.57480300,0.00000000
93.54146485,0.01574803,1.57480300,-0.39370070
