Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.70410990,1.55905500,0.39370070,-0.78740150
-10.90410989,1.55905500,0.00000000,-0.78740150
-10.10410988,1.55905500,-0.39370070,-0.39370070
-9.30410987,1.55905500,0.39370070,-1.18110200
-8.50410986,1.55905500,0.78740150,-0.78740150
-7.70410985,1.55905500,0.39370070,-0.78740150
-6.90410984,1.57480300,0.39370070,-0.78740150
-6.10410983,1.55905500,0.39370070,-0.39370070
-5.30410982,1.57480300,0.39370070,-0.78740150
-4.50410981,1.55905500,0.00000000,-1.18110200
-3.70410980,1.55905500,0.00000000,-0.78740150
-2.90410979,1.55905500,0.39370070,-1.18110200
-2.10410978,1.55905500,0.39370070,-0.78740150
-1.30410976,1.57480300,0.39370070,-0.78740150
-0.50410975,1.22834600,0.78740150,-0.78740150
0.29589026,0.07874016,0.78740150,-0.78740150
1.09589027,-0.07874016,0.78740150,-1.18110200
1.89589028,0.03149606,0.39370070,-0.78740150
2.69589029,0.07874016,0.39370070,-0.78740150
3.49589030,0.11023620,0.78740150,-1.18110200
4.29589031,0.07874016,0.78740150,0.00000000
5.09589032,0.06299213,0.78740150,-1.18110200
5.89589033,0.06299213,0.39370070,-0.39370070
6.69589034,0.06299213,0.78740150,-1.18110200
7.49589035,0.06299213,0.39370070,-0.39370070
8.29589036,0.04724409,0.39370070,-0.78740150
9.09589037,0.03149606,0.39370070,-0.78740150
9.89589038,0.04724409,1.18110200,-1.18110200
10.69589040,0.04724409,1.18110200,-0.78740150
11.49589041,0.04724409,1.18110200,0.78740150
12.29589042,0.03149606,0.39370070,1.96850400
13.09589043,0.04724409,2.75590500,3.14960600
13.89589044,0.03149606,3.54330700,2.36220500
14.69589045,0.03149606,3.54330700,2.36220500
15.49589046,0.03149606,3.93700800,3.54330700
16.29589047,0.04724409,4.33070900,3.93700800
17.09589048,0.01574803,4.33070900,3.54330700
17.89589049,0.03149606,4.72440900,3.93700800
18.69589050,0.03149606,4.72440900,3.54330700
19.49589051,0.03149606,4.72440900,3.93700800
20.29589052,0.03149606,4.33070900,3.93700800
21.09589053,0.01574803,4.72440900,3.93700800
21.89589055,0.03149606,4.33070900,3.93700800
22.69589056,0.03149606,5.11811000,3.14960600
23.49589057,0.03149606,4.33070900,3.93700800
24.29589058,0.03149606,4.33070900,3.54330700
25.09589059,0.03149606,4.72440900,3.93700800
25.89589060,0.01574803,4.33070900,3.54330700
26.69589061,0.03149606,4.33070900,3.93700800
27.49589062,0.03149606,4.33070900,3.54330700
28.29589063,0.03149606,4.33070900,3.93700800
29.09589064,0.03149606,4.72440900,3.93700800
29.89589065,0.01574803,3.93700800,3.54330700
30.69589066,0.03149606,4.72440900,3.93700800
31.49589067,0.03149606,4.33070900,3.54330700
32.29589068,0.01574803,3.93700800,3.54330700
33.09589069,0.01574803,3.93700800,3.54330700
33.89589071,0.03149606,4.33070900,3.14960600
34.69589072,0.03149606,4.33070900,3.14960600
35.49589073,0.01574803,3.93700800,2.75590500
36.29589074,0.01574803,3.93700800,2.36220500
37.09589075,0.03149606,3.54330700,3.14960600
37.89589076,0.01574803,3.93700800,2.36220500
38.69589077,0.03149606,3.93700800,3.14960600
39.49589078,0.01574803,4.33070900,2.75590500
40.29589079,0.01574803,3.93700800,2.75590500
41.09589080,0.01574803,3.93700800,3.14960600
41.89589081,0.01574803,3.54330700,3.14960600
42.69589082,0.01574803,3.93700800,2.75590500
43.49589083,0.01574803,4.33070900,3.14960600
44.29589084,0.01574803,3.54330700,3.14960600
45.09589085,0.03149606,3.54330700,2.75590500
45.89589087,0.01574803,3.93700800,3.14960600
46.69589088,0.01574803,3.54330700,2.75590500
47.49589089,0.01574803,3.93700800,3.14960600
48.29589090,0.01574803,3.14960600,2.36220500
49.09589091,0.01574803,3.14960600,3.14960600
49.89589092,0.01574803,3.14960600,2.75590500
50.69589093,0.01574803,3.54330700,2.75590500
51.49589094,0.01574803,3.54330700,2.36220500
52.29589095,0.01574803,3.54330700,2.75590500
53.09589096,0.03149606,3.14960600,2.75590500
53.89589097,0.00000000,3.54330700,2.75590500
54.69589098,0.01574803,3.54330700,2.75590500
55.49589099,0.01574803,3.54330700,2.75590500
56.29589100,0.01574803,3.54330700,2.75590500
57.09589102,0.03149606,3.93700800,2.75590500
57.89589103,0.01574803,3.14960600,2.36220500
58.69589104,0.01574803,3.14960600,2.36220500
59.49589105,0.01574803,3.14960600,2.36220500
60.29589106,0.01574803,2.75590500,2.36220500
61.09589107,0.01574803,3.14960600,2.36220500
61.89589108,0.00000000,2.75590500,2.36220500
62.69589109,0.01574803,3.14960600,2.36220500
63.49589110,0.01574803,2.75590500,1.96850400
64.29589111,0.01574803,3.14960600,2.75590500
65.09589112,0.01574803,3.14960600,1.96850400
65.89589113,0.01574803,2.36220500,2.36220500
66.69589114,0.01574803,3.14960600,2.36220500
67.49589115,0.01574803,3.14960600,1.96850400
68.29589116,0.01574803,2.36220500,2.36220500
69.09589118,0.01574803,2.75590500,1.96850400
69.89589119,0.01574803,2.75590500,1.18110200
70.69589120,0.01574803,2.75590500,1.57480300
71.49589121,0.01574803,2.75590500,1.57480300
72.29589122,0.01574803,2.36220500,1.57480300
73.09589123,0.01574803,3.14960600,1.96850400
73.89589124,0.01574803,3.14960600,1.57480300
74.69589125,0.01574803,2.75590500,1.96850400
75.49589126,0.01574803,2.75590500,1.96850400
76.29589127,0.00000000,1.96850400,1.57480300
77.09589128,0.01574803,1.96850400,1.96850400
77.89589129,0.01574803,2.75590500,1.57480300
78.69589130,0.00000000,2.75590500,1.18110200
79.49589131,0.01574803,2.36220500,1.96850400
80.29589132,0.01574803,2.36220500,1.57480300
81.09589134,0.00000000,2.75590500,1.57480300
81.89589135,0.01574803,2.36220500,1.18110200
82.69589136,0.01574803,2.36220500,1.57480300
83.49589137,0.00000000,2.36220500,1.57480300
84.29589138,0.01574803,2.36220500,1.18110200
85.09589139,0.01574803,2.36220500,1.57480300
85.89589140,0.00000000,2.36220500,1.57480300
86.69589141,0.00000000,1.96850400,1.57480300
87.49589142,0.01574803,1.96850400,1.18110200
88.29589143,0.01574803,1.96850400,1.57480300
89.09589144,0.01574803,2.36220500,1.18110200
89.89589145,0.01574803,2.36220500,1.57480300
90.69589146,0.00000000,1.96850400,1.18110200
91.49589147,0.00000000,2.75590500,1.18110200
92.29589149,0.00000000,1.96850400,1.18110200
93.09589150,0.01574803,2.36220500,0.78740150
