Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.82105280,1.55905500,0.39370070,-0.78740150
-11.02105279,1.55905500,0.00000000,-1.18110200
-10.22105278,1.55905500,0.00000000,-1.18110200
-9.42105277,1.57480300,0.78740150,-1.18110200
-8.62105276,1.55905500,0.00000000,-1.18110200
-7.82105275,1.57480300,0.00000000,-1.18110200
-7.02105274,1.55905500,0.00000000,-1.18110200
-6.22105273,1.55905500,-0.39370070,-0.78740150
-5.42105272,1.55905500,0.00000000,-0.78740150
-4.62105271,1.55905500,0.39370070,-1.18110200
-3.82105270,1.55905500,0.39370070,-1.18110200
-3.02105269,1.55905500,0.00000000,-1.57480300
-2.22105268,1.55905500,0.39370070,-1.18110200
-1.42105266,1.55905500,0.39370070,-0.78740150
-0.62105265,1.43307100,0.78740150,-1.18110200
0.17894736,0.23622050,0.39370070,-0.39370070
0.97894737,-0.11023620,0.39370070,-0.78740150
1.77894738,0.04724409,-0.39370070,-1.18110200
2.57894739,0.06299213,0.39370070,-1.18110200
3.37894740,0.11023620,0.00000000,-0.78740150
4.17894741,0.09448819,0.39370070,-0.78740150
4.97894742,0.06299213,0.78740150,-0.78740150
5.77894743,0.06299213,0.78740150,-1.18110200
6.57894744,0.06299213,0.00000000,-0.78740150
7.37894745,0.06299213,0.78740150,-0.78740150
8.17894746,0.04724409,0.39370070,-1.18110200
8.97894747,0.04724409,0.00000000,-1.18110200
9.77894749,0.04724409,0.00000000,-1.18110200
10.57894750,0.04724409,0.39370070,-1.18110200
11.37894751,0.03149606,0.39370070,0.39370070
12.17894752,0.04724409,0.00000000,2.36220500
12.97894753,0.04724409,1.57480300,2.75590500
13.77894754,0.03149606,2.36220500,2.75590500
14.57894755,0.03149606,2.36220500,3.14960600
15.37894756,0.04724409,3.14960600,2.75590500
16.17894757,0.03149606,3.14960600,3.54330700
16.97894758,0.03149606,2.75590500,2.75590500
17.77894759,0.03149606,2.75590500,3.14960600
18.57894760,0.04724409,2.75590500,3.14960600
19.37894761,0.03149606,2.75590500,3.54330700
20.17894762,0.03149606,2.75590500,3.93700800
20.97894763,0.01574803,3.14960600,3.14960600
21.77894765,0.03149606,3.14960600,3.14960600
22.57894766,0.03149606,3.54330700,2.75590500
23.37894767,0.03149606,3.14960600,3.93700800
24.17894768,0.01574803,2.36220500,3.54330700
24.97894769,0.01574803,2.75590500,3.14960600
25.77894770,0.03149606,2.75590500,2.75590500
26.57894771,0.01574803,2.75590500,2.75590500
27.37894772,0.03149606,2.75590500,3.54330700
28.17894773,0.03149606,2.75590500,2.75590500
28.97894774,0.03149606,2.75590500,2.75590500
29.77894775,0.03149606,2.75590500,2.75590500
30.57894776,0.03149606,2.75590500,2.75590500
31.37894777,0.03149606,2.75590500,3.14960600
32.17894778,0.00000000,2.36220500,2.75590500
32.97894779,0.00000000,2.36220500,2.75590500
33.77894781,0.03149606,2.75590500,2.36220500
34.57894782,0.03149606,2.75590500,1.96850400
35.37894783,0.01574803,2.36220500,2.36220500
36.17894784,0.03149606,3.14960600,2.36220500
36.97894785,0.01574803,2.75590500,1.96850400
37.77894786,0.03149606,2.36220500,1.96850400
38.57894787,0.01574803,3.14960600,1.96850400
39.37894788,0.01574803,2.75590500,2.36220500
40.17894789,0.01574803,2.75590500,2.36220500
40.97894790,0.01574803,2.75590500,2.36220500
41.77894791,0.00000000,2.75590500,1.96850400
42.57894792,0.01574803,2.36220500,1.96850400
43.37894793,0.01574803,2.75590500,2.36220500
44.17894794,0.01574803,2.75590500,2.36220500
44.97894796,0.01574803,1.96850400,2.36220500
45.77894797,0.01574803,2.36220500,1.96850400
46.57894798,0.01574803,2.36220500,2.36220500
47.37894799,0.01574803,2.36220500,1.57480300
48.17894800,0.01574803,2.75590500,1.96850400
48.97894801,0.01574803,1.96850400,2.36220500
49.77894802,0.01574803,1.96850400,2.36220500
50.57894803,0.01574803,1.96850400,2.36220500
51.37894804,0.03149606,1.96850400,2.36220500
52.17894805,0.01574803,2.36220500,2.36220500
52.97894806,0.01574803,1.57480300,1.96850400
53.77894807,0.01574803,2.36220500,1.96850400
54.57894808,0.01574803,2.75590500,1.57480300
55.37894809,0.01574803,1.57480300,1.96850400
56.17894810,0.01574803,2.36220500,2.36220500
56.97894812,0.01574803,2.75590500,2.36220500
57.77894813,0.01574803,2.36220500,1.57480300
58.57894814,0.01574803,2.75590500,1.57480300
59.37894815,0.00000000,2.36220500,1.57480300
60.17894816,0.00000000,2.36220500,1.18110200
60.97894817,0.01574803,2.36220500,1.57480300
61.77894818,0.01574803,2.75590500,1.57480300
62.57894819,0.01574803,2.36220500,1.18110200
63.37894820,0.00000000,1.96850400,1.18110200
64.17894821,0.01574803,2.36220500,1.18110200
64.97894822,0.01574803,2.36220500,1.18110200
65.77894823,0.01574803,1.96850400,1.18110200
66.57894824,0.01574803,1.96850400,1.18110200
67.37894825,0.01574803,1.96850400,1.18110200
68.17894826,0.00000000,1.96850400,1.57480300
68.97894828,0.01574803,2.36220500,1.96850400
69.77894829,0.01574803,1.57480300,1.96850400
70.57894830,0.00000000,1.96850400,1.57480300
71.37894831,0.01574803,1.96850400,1.18110200
72.17894832,0.01574803,1.96850400,1.57480300
72.97894833,0.01574803,1.57480300,1.18110200
73.77894834,0.01574803,1.96850400,1.18110200
74.57894835,0.01574803,2.36220500,1.18110200
75.37894836,0.01574803,2.36220500,1.18110200
76.17894837,0.01574803,1.57480300,1.18110200
76.97894838,0.01574803,1.96850400,0.78740150
77.77894839,0.01574803,1.96850400,0.78740150
78.57894840,0.00000000,1.96850400,0.78740150
79.37894841,0.00000000,1.57480300,0.78740150
80.17894843,0.01574803,1.18110200,1.57480300
80.97894844,0.00000000,1.57480300,1.18110200
81.77894845,0.01574803,1.96850400,0.78740150
82.57894846,0.01574803,1.96850400,1.18110200
83.37894847,0.00000000,1.96850400,0.78740150
84.17894848,0.00000000,1.57480300,0.78740150
84.97894849,0.00000000,1.96850400,1.57480300
85.77894850,0.01574803,1.96850400,0.78740150
86.57894851,0.01574803,1.18110200,0.78740150
87.37894852,0.00000000,1.18110200,0.78740150
88.17894853,0.01574803,2.36220500,1.18110200
88.97894854,0.01574803,1.57480300,0.78740150
89.77894855,0.00000000,1.57480300,0.39370070
90.57894856,0.00000000,1.57480300,0.39370070
91.37894857,0.00000000,1.57480300,0.78740150
92.17894859,0.01574803,2.36220500,0.39370070
92.97894860,0.01574803,1.96850400,0.39370070
